section,major
57465,advertising
57420,Biology
57420,Biology
57420,Biology
57425,Biology
57465,Biology
57465,BSA in Biology
57425,Biology
57460,Biology
57425,Biology
57420,Biology
57420,Biology
57425,Biology
57425,Biology
57460,Biology
57425,I am majoring in biology.
57425,Biology
57460,BSA in Biology
57425,"Biology, Plan II"
57460,Biology
57460,Biology
57465,Biology
57420,Biology: Human Biology
57465,Biology
57425,Biology
57420,Biology
57465,Biology
57425,"Major: Biology

Minor: Business"
57460,Biology BSA
57465,Biology
57460,Biology and Physics
57460,Biology
57460,Biology
57425,BS Human Biology
57425,Biology
57425,Biology
57425,Biology
57465,Biology
57460,Biology
57465,Biology
57420,Biology
57460,Chemistry and sociology
57465,Biochemistry
57425,Chemistry
57465,Chemistry
57420,Biochemistry
57460,B.S. Biochemistry
57465,Computational Biology
57425,Computational Biology
57420,Computational biology
57460,Computational Biology.
57425,Computational Biology
57460,Bioinformatics and Computational biology
57465,Computational Biology
57460,Computational Biology
57425,Computational Biology
57420,Computational biology
57425,Computational Biology
57460,Computational Biology
57460,Computational Biology
57465,Computer science
57425,I am a Computer Science major.
57460,Computer Science
57460,Computer Science
57460,Computer Science
57420,Computer Science
57465,Computer Science
57425,Computer Science
57460,Business Analytics
57420,Economics
57420,economics
57420,Economics
57465,"Economics, B.S"
57420,Economics B.S.
57425,Economics
57460,Economics B.S.
57420,Economics
57420,Economics
57460,B.S. Economics
57420,Economics
57460,Economics BS
57460,Accounting
57425,Economics
57465,Economics BS
57420,economics
57425,Economics
57425,Economics
57465,Economics B.S
57465,Economics
57460,Economics
57465,I am majoring in economics BS.
57420,Economics(BS)
57420,Economics
57465,Economics
57465,Economics
57460,Economics
57420,Economics
57425,"Economics, with the Elements of Computing certificate."
57420,Economics
57465,Economics
57460,Economics
57420,Economics
57460,BS Economics
57420,Double Major in Economics and International Relations and Global Studies(IRG).
57420,Economics + Japanese
57420,economics bs
57425,BA in Economics and a Stats minor
57465,Economics
57465,Economics
57460,Economics.
57420,Economics
57420,Economics
57420,Economics
57425,Economics (BA)
57465,BS Economics.
57465,Economics
57425,Economics
57465,"Economics BS, also pursuing the Elements of Computing Certification."
57460,Economics
57425,BS in Economics !
57465,Finance + BHP
57465,BS Economics
57460,"Finance, Quantitative"
57420,Economics
57425,Economics
57425,Economics
57465,Economics
57420,Bachelors of science in economics
57425,Business Analytics
57460,Economics w/ minor in Risk Management.
57420,Economics with pre-medical track
57460,Econ
57465,Economics (BS) and Finance (BBA)
57465,Eco BS
57465,Economics
57465,Economics
57425,Finance and Economics
57465,Computational Engineering
57465,Biomedical Engineering
57420,Computational Engineering
57465,Biomedical engineering
57425,Biomedical Engineering with a concentration in Computational Engineering
57460,Computational Engineering
57425,Computational Engineering
57425,Chemical Engineering
57465,Computational Engineering.
57460,Biomedical Engineering
57465,I'm majoring in Human Development and Family Sciences.
57460,Geoscience
57465,Government
57465,Health Promotion and Behavioral Science
57425,History.
57425,History.
57465,Human Bio; B.S
57460,Human Biology + Applied Statistical Modeling Minor
57420,Human Biology
57425,Human Biology
57460,Human Biology
57425,Human Biology
57420,Human Biology
57425,Human Biology
57420,Human Biology
57420,Informatics + Economics
57420,Informatics
57425,Informatics
57420,Informatics
57460,Informatics
57465,Journalism.
57420,Linguistics
57460,"Mathematics(actuarial) major

CS certificate, DS certificate, Business minor, Spanish Business"
57465,Applied Math
57460,Mathematics
57420,I am a mathematics major.
57425,mathematics
57420,"Mathematics, biology"
57465,Math
57420,Mathematics BSA
57425,Mechanical Engineering
57460,Mechanical Engineering
57425,Mechanical Engineering
57465,Mechanical Engineering
57425,Mechanical Engineering
57420,Mechanical Engineering
57420,Mechanical Engineering 
57420,Mechanical Engineering
57465,mechanical engineering
57460,I'm a neuroscience major.
57465,Neuroscience with stats minor
57460,Neuroscience
57460,Human Dimensions of Organizations
57420,Physics
57460,psychology
57460,Psychology
57460,Psychology
57425,Public Health
57425,Public Health (pre-med)
57425,Public Health
57425,Public Health
57460,Public Health
57420,Public Health
57465,BME
